title,cast
Im Not Here,"j.k. simmons,sebastian stan,maika monroe"
Toy Gun,"luke allen-gale,federico castelluccio,john hannah"
Soul Hunters,"zach scheerer,franziska schissler,david josh lawrence"
فارسی انیمیشن Sgt Stubby An American Hero,"logan lerman,helena bonham carter,gérard depardieu"
دوبله فارسی Anne of Green Gables The Good Stars,"ella ballentine,sara botsford,martin sheen"
فارسی فیلم Kim Possible,"sadie stanley,sean giambrone,Ciara Riley Wilson"
St Agatha,"sabrina kern,carolyn hennesy,courtney halverson"
فارسی فیلم At Eternitys Gate,"willem dafoe,rupert friend,oscar isaac"
فارسی فیلم Raid,"ajay devgn,ileana d'cruz,amit bimrot"
Level 16,"katie douglas,celina martin,sara canning"
فارسی فیلم Furious,"ilya malakov,aleksey serebryakov,aleksandr ilin"
فارسی فیلم Goodachari,"adivi sesh,sobhita dhulipala,jagapathi babu"
فارسی فیلم Journeyman,"paddy considine,jodie whittaker,paul popplewell"
فارسی فیلم In Darkness,"natalie dormer,emily ratajkowski,ed skrein"
فارسی فیلم The Old Man and the Gun,"robert redford,casey affleck,sissy spacek"
فارسی فیلم The Last Witness,"alex pettyfer,robert wieckiewicz,talulah riley"
فارسی فیلم Superfly,"trevor jackson,jason mitchell,lex scott davis"
فارسی  فیلم Occupation,"dan ewing,temuera morrison,Stephany Jacobsen"
فارسی فیلم Marauders,"bruce willis,christopher meloni,dave bautista"
Malevolent,"florence pugh,ben lloyd-hughes,scott chambers"
فارسی فیلم Extinction,"michael peña,lizzy caplan,Amelia Crouch"
فارسی فیلم Acts of Violence,"bruce willis,cole hauser,shawn ashmore"
فارسی فیلم Burn Out,"françois civil,olivier rabourdin,manon azem"
Monstrum,"Myung-Min Kim,In-kwon Kim,Hyeri Lee"
فارسی فیلم Night School,"kevin hart,tiffany haddish,rob riggle"
Miss Fritters Racing Skoool,james ford murphy
Can Feda,"burak Özçivit,kerem bürsin,melike yalova"
Take the Ball Pass the Ball,"Éric abidal,dani alves,albert benaiges"
I Can Speak,"moon-hee na,Lee Jehoon,cheol-min park"
The Oscars,"Queen,Adam Lambert,Tina Fey"
Viswasam,"ajith kumar,nayanthara,sakshi agarwal"
Second Act,"jennifer lopez,vanessa hudgens,leah remini"
Point Man,"joshua dela cruz,jimmy ace lewis"
۳۰۳,"mala emde,anton spieker,arndt schwering-sohnrey"
فارسی انیمیشن Harlock Space Pirate,"yû aoi,jessica boone,ayano fukuda"
فارسی انیمیشن Resident Evil Vendetta,"kevin dorman,matthew mercer,erin cahill"
فارسی فیلم Vikram Vedha,"madhavan,vijay sethupathi,shraddha srinath"
فارسی فیلم Den of Thieves,"gerard butler,pablo schreiber,o'shea jackson jr."
فارسی فیلم Before We Vanish,"masami nagasawa,ryûhei matsuda,hiroki hasegawa"
Isnt It Romantic,"rebel wilson,liam hemsworth,Adam Devine"
Green Book,"viggo mortensen,mahershala ali,linda cardellini"
فارسی انیمیشن Henchmen,"Thomas Middleditch,james marsden,rosario dawson"
unknown,"ajeya,anita,gouri choudari"
Milla,"severine jonckeere,luc chessel,ethan jonckeere"
فارسی انیمیشن Late Afternoon,louise bagnall
the axiom,"hattie smith,zac titus,nicole dambro"
Bao,domee shi
فارسی انیمیشن Animal Behaviour,"ryan beil,Taz Van Rassel,leah juel"
Free Solo,"alex honnold,tommy caldwell,jimmy chin"
Steel Rain,"Jung Woo-sung,do-won kwak,Kim Kap-su"
Vox Lux,"natalie portman,jude law,stacy martin"
Destruction Los Angeles,"craig sheffer,cynthia watros,romeo miller"
The Man Who Killed Don Quixote,"josé luis ferrer,ismael fritschi,juan lópez-tagle"
1987 – When the day comes,"Kim Yoon-seok,jung-woo ha,hae-jin yoo"
In Like Flynn,"Thomas Cocquerel,Corey Large,william moseley"
Claras,"patrick j. adams,troian bellisario,Ennis Esmer"
The Swindlers,"hyun bin,Yoo Ji-Tae,Sung-Woo Bae"
London Fields,"amber heard,gemma chan,cara delevingne"
فارسی انیمیشن Mirai,"rebecca hall,Daniel Dae Kim,john cho"
Throne of Elves,"ashley boettcher,g.k. bowes,gavin hammon"
The Healer,"oliver jackson-cohen,jonathan pryce,camilla luddington"
A Violent Man,"thomas q. jones,isaach de bankolé,chuck liddell"
Prodigy,"richard neil,savannah liles,jolene andersen"
Pity,"yannis drakopoulos,evi saoulidou,Pavlos Makridis"
unknown,"nikolaj lie kaas,fares fares,johanne louise schmidt"
The Isle,"conleth hill,alex hassell,fisayo akinade"
Bodied,"calum worthy,jackie long,rory uphold"
فارسی فیلم Under the Tree,"steinþór hróar steinþórsson,edda björgvinsdóttir,sigurður sigurjónsson"
Godzilla: The Planet Eater,"mamoru miyano,takahiro sakurai,kana hanazawa"
Dragon Ball Super Broly,"masako nozawa,aya hisakawa,ryô horikawa"
Black Tide,"vincent cassel,romain duris,sandrine kiberlain"
Piercing,"christopher abbott,laia costa,mia wasikowska"
The Possession of Hannah Grace,"shay mitchell,grey damon,kirby johnson"
Viper Club,"susan sarandon,matt bomer,lola kirke"
Vazante,"adriano carvalho,luana nastas,sandra corveloni"
Laila Majnu,"avinash tiwary,tripti dimri,sumit kaul"
فارسی فیلم Roma,"yalitza aparicio,marina de tavira,diego cortina autrey"
An Acceptable Loss,"tika sumpter,jamie lee curtis,ben tavassoli"
The Oath,"ike barinholtz,tiffany haddish,nora dunn"
Beyond The Night,"tammy blanchard,zane holtz,azhy robertson"
Agatha and the Truth of Murder,"dean andrews,ruth bradley,bebe cave"
Berlin I Love You,"keira knightley,helen mirren,luke wilson"
فارسی فیلم Singularity,"julian schaffner,john cusack,carmen argenziano"
فارسی فیلم Little Forest,"Kim Tae-ri,Ryu Jun-Yeol,Moon So-ri"
فارسی فیلم The Sisters Brothers,"john c. reilly,joaquin phoenix,jake gyllenhaal"
فارسی فیلم Ravenous,"marc-andré grondin,monia chokri,charlotte st-martin"
The House That Jack Built,"Matt Dillon,bruno ganz,uma thurman"
فارسی انیمیشن Wreck-It Ralph,"john c. reilly,jack mcbrayer,jane lynch"
فارسی فیلم Hunter Killer,"gerard butler,gary oldman,common"
فارسی فیلم Beautiful Boy,"steve carell,maura tierney,jack dylan grazer"
My Neighbors the Yamadas,"Yukiji Asaoka,tôru masuoka,masako araki"
El Angel,"lorenzo ferro,Cecilia Roth,luis gnecco"
When Angels Sleep,"julián villagrán,marian Álvarez,ester expósito"
High Flying Bird,"andré holland,Melvin Gregg,Eddie Tavares"
Aravindha Sametha Veera Raghava,"n.t. rama rao jr.,pooja hegde,jagapathi babu"
No Mercy,"Sol Kyung-gu,Seung-beom Ryu,Hye-jin Han"
Soni,"geetika vidya ohlyan,saloni batra,vikas shukla"
فارسی فیلم Replicas,"keanu reeves,alice eve,Thomas Middleditch"
فارسی انیمیشن Reign of the Supermen,"jerry o'connell,rebecca romijn,rainn wilson"
کوتاه Weekends,آمریکا
The Man Who Killed Hitler and Then The Bigfoot,"sam elliott,Rocco Gioffre,aidan turner"
Paltan,"jackie shroff,arjun rampal,sonu sood"
Untogether,"jamie dornan,lola kirke,Jemima Kirke"
The Final Wish,"lin shaye,michael welch,melissa bolona"
An Affair to Die For,"claire forlani,Amy Dincuff,nathan cooper"
Indivisible,"sarah drew,justin bruening,jason george"
The Front Runner,"hugh jackman,vera farmiga,j.k. simmons"
Dead Trigger,"dolph lundgren,autumn reeser,Brooke Johnston"
12 Feet Deep,"nora-jane noone,alexandra park,diane farr"
The Hole in the Ground,"seána kerslake,james quinn markey,kati outinen"
Pledge,"zachery byrd,phillip andre botello,zack weiner"
Animas,"Ángela molina,luis bermejo,chacha huang"
K.G.F Chapter 1,"yash,srinidhi shetty,ramachandra raju"
The Golem,"hani furstenberg,ishai golan,Kirill Cernyakov"
فارسی انیمیشن Pokemon the Movie The Power of Us,"sarah natochenny,Haven Paschall,Eddy Lee"
Bilby,"jp sans , pierre perifel"
Mathilde,"michalina olszanska,lars eidinger,luise wolfram"
فارسی فیلم The Catcher Was a Spy,"paul rudd,Pierfrancesco Favino,tom wilkinson"
Ride,"bella thorne,jessie t. usher,will brill"
Crossroads One Two Jaga,"zahiril adzim,ario bayu,rosdeen suboh"
Helicopter Eela,"kajol,riddhi sen,tota roy chowdhury"
Zero,"shah rukh khan,anushka sharma,katrina kaif"
Yellow is the New Black,"fabien polack , Sergey Kushneryov"
unknown,"Sarah Jane Morris,janine turner,michael beach"
Outlaws,"ryan corr,abbey lee,simone kessell"
Braid,"madeline brewer,imogen waterhouse,sarah hay"
Velvet Buzzsaw,"jake gyllenhaal,Rene Russo,Zawe Ashton"
Becoming Astrid,"alba august,maria bonnevie,trine dyrholm"
فارسی انیمیشن Lego Batman DC Super Heroes Unite,"clancy brown,troy baker,christopher corey smith"
Dark Was the Night,"marisa tomei,charlie plummer,timothy olyphant"
فارسی فیلم The Nutcracker and the Four Realms,"mackenzie foy,keira knightley,morgan freeman"
فارسی فیلم A-X-L,"Alex Neustaedter,becky g,Alex MacNicoll"
Bohemian Rhapsody,"rami malek,lucy boynton,gwilym lee"
فارسی فیلم Wait Till Helen Comes,"maria bello,sophie nélisse,callum keith rennie"
Golden Job,"ekin cheng,Jordan Chan,Michael Tse"
Sausage Party,"seth rogen,kristen wiig,jonah hill"
I Want You,"mario casas,clara lago,maría valverde"
Anna and the Apocalypse,"ella hunt,malcolm cumming,sarah swire"
فارسی فیلم The Warning,"raúl arévalo,aura garrido,hugo arbues"
فارسی فیلم Flatliners,"Elliot Page,diego luna,nina dobrev"
فارسی انیمیشن Lego Attack of the Legion of Doom,"dee bradley baker,troy baker,john dimaggio"
فارسی فیلم The 12th Man,"thomas gullestad,jonathan rhys meyers,marie blokhus"
فارسی فیلم Siberia,"keanu reeves,Boris Gulyarin,Ashley St. George"
فارسی فیلم Last Flag Flying,"bryan cranston,laurence fishburne,steve carell"
Nostalgia,"hugo armstrong,shinelle azoroh,annalise basso"
فارسی فیلم Bharat Ane Nenu,"mahesh babu,kiara advani,prakash raj"
فارسی فیلم I Frankenstein,"aaron eckhart,bill nighy,miranda otto"
A Twelve-Year Night,"antonio de la torre,chino darín,alfonso tort"
Age of Summer,"peter stormare,brian van holt,jake ryan"
فارسی انیمیشن The Grinch,"benedict cumberbatch,cameron seely,rashida jones"
Buffalo Boys,"yoshi sudarso,ario bayu,pevita pearce"
Tueurs,"olivier gourmet,lubna azabal,kevin janssens"
The 3rd Eye,"jessica mila,denny sumargo,citra prima"
You Might Be the Killer,"fran kranz,alyson hannigan,brittany s. hall"
Close,"noomi rapace,Olivia Jewson,Abdellatif Chaouqi"
Hope Aur Hum,"naseeruddin shah,kabir sajid,Virti Vaghani"
The World Is Yours,"karim leklou,isabelle adjani,vincent cassel"
Charming,"demi lovato,wilmer valderrama,sia"
Daana Paani,"jimmy sheirgill,simi chahal,gurpreet ghuggi"
Polar,"mads mikkelsen,vanessa hudgens,katheryn winnick"
فارسی انیمیشن The Road to El Dorado,"kevin kline,kenneth branagh,rosie perez"
فارسی فیلم The Adjustment Bureau,"matt damon,emily blunt,lisa thoreson"
فارسی فیلم,"katee sackhoff,ray fearon,julie cox"
The Captain,"max hubacher,Alexander Fehling,Sebastian Rudolph"
IO,"margaret qualley,anthony mackie,danny huston"
Western,"meinhard neumann,reinhardt wetrek,syuleyman alilov letifov"
Rust Creek,"hermione corfield,Jay Paulson,Sean O'Bryan"
Madelines Madeline,"helena howard,molly parker,miranda july"
The Looming Storm,"yihong duan,yiyan jiang,yuan du"
Bird Box,"sandra bullock,trevante rhodes,john malkovich"
Revenger,"Je-Heon Choi,Makayla Rose Hilli,SooJin Jeong"
فارسی فیلم Three Steps Above Heaven,"mario casas,maría valverde,Álvaro cervantes"
فارسی فیلم Cold War,"joanna kulig,tomasz kot,borys szyc"
The Fortress,"Lee Byung-Hun,Kim Yoon-seok,Park Hae-il"
Boy Erased,"lucas hedges,nicole kidman,joel edgerton"
فارسی فیلم Peace Breaker,"qianyuan wang,tao liu,jiayi feng"
The Girl Who Played with Fire,"noomi rapace,michael nyqvist,lena endre"
The Girl Who Kicked the Hornets Nest,"michael nyqvist,noomi rapace,lena endre"
فارسی فیلم The Wife,"glenn close,jonathan pryce,max irons"
فارسی فیلم The Bookshop,"emily mortimer,bill nighy,hunter tremayne"
فارسی فیلم Cross Wars,"brian austin green,vinnie jones,danny trejo"
The Princess Switch,"vanessa hudgens,sam palladio,nick sagar"
فارسی فیلم Suspiria,"jessica harper,stefania casini,flavio bucci"
فارسی انیمیشن Berserk The Golden Age Arc II,"carrie keranen,orion acaba,chris jai alex"
فارسی فیلم Backtrace,"Ryan Guzman,sylvester stallone,Meadow Williams"
فارسی فیلم Papillon,"charlie hunnam,Damijan Oklopdzic,Christopher Fairbank"
Transit,"franz rogowski,paula beer,godehard giese"
The Girl in the Spider’s Web,"claire foy,beau gadsdon,sverrir gudnason"
Still,"Lydia Wilson,Nick Blood,madeline brewer"
The Pact,"belén rueda,darío grandinetti,mireia oriol"
Monsters and Men,"john david washington,anthony ramos,kelvin harrison jr."
فارسی انیمیشن Berserk The Golden Age Arc I,"hiroaki iwanaga,carrie keranen,takahiro sakurai"
Brexit,"benedict cumberbatch,Sarah Belcher,Malcolm Freeman"
American Hangman,"donald sutherland,vincent kartheiser,oliver dennis"
A Star Is Born,"lady gaga,bradley cooper,sam elliott"
Suspiria,"chloë grace moretz,tilda swinton,doris hick"
Baazaar,"radhika apte,Saif Ali Khan,chitrangda singh"
Ashes in the Snow,"bel powley,Lisa Loven Kongsli,Martin Wallström"
Back to Love,"tangie ambrose,elizabeth blackmore,ryan caltagirone"
Johnny English Strikes Again,"rowan atkinson,ben miller,olga kurylenko"
فارسی انیمیشن Wheely,"Barbara Goodson,chris jai alex,Ogie Banks"
Pihu,"Rahul Bagga,pihu myra vishwakarma,prerna vishwakarma"
The Wolf of Wall Street,"leonardo dicaprio,jonah hill,margot robbie"
Life Itself,"oscar isaac,olivia wilde,annette bening"
Love Sonia,"abhishek bharate,Riya Sisodiya,mrunal thakur"
Summer 03,"joey king,Paul Scheer,andrea savage"
FryDay,"govinda,Digangana Suryavanshi,varun sharma"
Amar Akbar Anthony,"ravi teja,ileana d'cruz,Vikramjeet Virk"
Wildlife,"ed oxenbould,jake gyllenhaal,carey mulligan"
Manto,"Nawazuddin Siddiqui,rasika dugal,tahir raj bhasin"
While the Wolfs Away,"Mar Carrera,carla adell,luis de la rosa"
Death Kiss,"robert bronzi,daniel baldwin,richard tyson"
Terrifier,"jenna kanell,samantha scaffidi,david howard thornton"
The Black Prince,"jason flemyng,amanda root,shabana azmi"
The Holiday Calendar,"Kat Graham,quincy brown,ethan peck"
Speed Kills,"john travolta,katheryn winnick,jennifer esposito"
فارسی انیمیشن Pokemon the Movie I Choose You!,"unshô ishizuka,rica matsumoto,sarah natochenny"
Solis,"steven ogg,alice lowe,Sid Phoenix"
The Butterfly Tree,"melissa george,ewen leslie,ed oxenbould"
State Like Sleep,"katherine waterston,michael shannon,luke evans"
Unknown Soldier,"eero aho,johannes holopainen,jussi vatanen"
Thugs of Hindostan,"aamir khan,amitabh bachchan,fatima sana shaikh"
Sin City: A Dame to Kill For,"mickey rourke,jessica alba,josh brolin"
Sin City,"mickey rourke,clive owen,bruce willis"
What Will People Say,"maria mozhdah,adil hussain,ekavali khanna"
فارسی فیلم Bank Chor,"riteish deshmukh,vivek oberoi,rhea chakraborty"
فارسی انیمیشن The Jungle Bunch,"philippe bozo,laurent morteau,pascal casanova"
فارسی انیمیشن Elliot the Littlest Reindeer,"morena baccarin,josh hutcherson,john cleese"
Bernie The Dolphin,"lola sultan,logan allen,kevin sorbo"
Heartthrob,"aubrey peeples,keir gilchrist,peter facinelli"
Cucuy The Boogeyman,"marisol nichols,brian krause,jearnest corchado"
فارسی فیلم The House with a Clock in Its Walls,"jack black,cate blanchett,owen vaccaro"
Ladies in Black,"julia ormond,angourie rice,rachael taylor"
فارسی فیلم Mark Felt,"liam neeson,diane lane,marton csokas"
First Man,"ryan gosling,claire foy,jason clarke"
Halloween,"jamie lee curtis,judy greer,andi matichak"
فارسی فیلم Hotel Artemis,"jodie foster,sofia boutella,dave bautista"
فارسی فیلم Goosebumps 2: Haunted Halloween,"wendi mclendon-covey,madison iseman,jeremy ray taylor"
فارسی فیلم The Yellow Birds,"alden ehrenreich,Daniel Jose Molina,Mikey Collins"
Champion,"Ma Dong-seok,kwon yul,Yeri Han"
Unbroken: Path to Redemption,"samuel hunt,merritt patterson,bobby campo"
Gun City,"luis tosar,michelle jenner,vicente romero"
Happy Hunting,"martin dingle wall,ken lally,kenny wormald"
Brother of the Year,"sunny suwanmethanont,urassaya sperbund,Nichkhun Horvejkul"
1985,"cory michael smith,virginia madsen,michael chiklis"
Back Roads,"Chiara Aurelia,jennifer morrison,juliette lewis"
The Happytime Murders,"melissa mccarthy,elizabeth banks,maya rudolph"
Hardcore Henry,"sharlto copley,tim roth,haley bennett"
Sabrina,"luna maya,christian sugiono,sara wijayanto"
Teefa in Trouble,"ali zafar,maya ali,mehmood aslam"
فارسی انیمیشن All I Want for Christmas Is You,"mariah carey,breanna yde,henry winkler"
Jalebi,"rhea chakraborty,Varun Mitra,Digangana Suryavanshi"
support the girls,"regina hall,haley lu richardson,dylan gelula"
My Dinner with Herve,"peter dinklage,jamie dornan,frida munting"
فارسی فیلم The Predator,"boyd holbrook,trevante rhodes,jacob tremblay"
Mid90s,"sunny suljic,katherine waterston,lucas hedges"
فارسی انیمیشن Flying the Nest,"John Stamos,sean astin,Debbie Chazen"
فارسی فیلم The Ballad of Buster Scruggs,"tim blake nelson,Willie Watson,clancy brown"
کمدی Ellen DeGeneres: Relatable,"laura dern,ellen degeneres,Eddie Vedder"
Pataakha,"sanya malhotra,radhika madan,sunil grover"
Under the Silver Lake,"andrew garfield,riley keough,topher grace"
Nota,"vijay deverakonda,nassar,sathyaraj"
Bucket List,"atharva bedekar,shantanu shrikant bhake,Ila Bhate"
Manmarziyaan,"taapsee pannu,abhishek bachchan,vicky kaushal"
The Appearance,"jake stormoen,kristian nairn,adam johnson"
Clyde Cooper,"jordi vilasuso,abigail titmuss,richard neil"
Nightshift,"ashleigh dorrell,Matthew O'Brien,Angel Hannigan"
فارسی انیمیشن Akira,"mitsuo iwata,nozomu sasaki,mami koyama"
فارسی Battle of the Drones,"louis mandylor,dominique swain,michael paré"
Assassination Nation,"odessa young,abra,suki waterhouse"
Skate Kitchen,"Rachelle Vinberg,Dede Lovelace,Nina Moran"
Hotel Salvation,"adil hussain,lalit behl,geetanjali kulkarni"
The Children Act,"ben chaplin,stanley tucci,emma thompson"
Badhaai Ho,"ayushmann khurrana,neena gupta,gajraj rao"
فارسی انیمیشن Vampire Hunter D Bloodlust,"andrew philpot,john rafter lee,pamela adlon"
فارسی فیلم Johnny English Reborn,"rowan atkinson,rosamund pike,dominic west"
فارسی فیلم Johnny English,"rowan atkinson,john malkovich,Natalie Imbruglia"
فارسی انیمیشن White Fang,"Raphaël Personnaz,virginie efira,dominique pinon"
Message from the King,"chadwick boseman,luke evans,alfred molina"
Whos Watching Oliver,"russell geoffrey banks,sara malakul lane,margaret roche"
Colette,"keira knightley,fiona shaw,dominic west"
Batti Gul Meter Chalu,"shahid kapoor,shraddha kapoor,divyendu sharma"
فارسی فیلم Mowgli Legend of the Jungle,"christian bale,cate blanchett,benedict cumberbatch"
The Wild Boys,"pauline lorillard,Vimala Pons,diane rouxel"
Leprechaun Returns,"taylor spreitler,Pepi Sonuga,sai bennett"
Lizzie,"chloë sevigny,kristen stewart,Jeff Perry"
Parava,"amal shah,govind v. pai,dulquer salmaan"
Gonjiam Haunted Asylum,"Wi Ha-Joon,Yoo Je-Yoon,seung-wook lee"
Dumplin,"danielle macdonald,jennifer aniston,odeya rush"
Await Further Instructions,"sam gittins,neerja naik,abigail cruttenden"
Pandora,"do-bin baek,seung-hoon choi,Sung-Wook Eo"
A Simple Favor,"anna kendrick,Blake Lively,henry golding"
فارسی فیلم Goosebumps,"jack black,dylan minnette,odeya rush"
The Other Side of the Wind,"john huston,oja kodar,peter bogdanovich"
فارسی فیلم The Crucifixion,"sophie cookson,corneliu ulici,ada lupu"
فارسی فیلم Unfriended Dark Web,"colin woodell,Stephanie Nogueras,betty gabriel"
فارسی انیمیشن Maquia When the Promised Flower Blooms,"manaka iwami,miyu irino,yôko hikasa"
Three Identical Strangers,"Robert Shafran,Michael Domnitz,Howard Schneider"
The Insult,"adel karam,kamel el basha,camille salameh"
Confidential Assignment (Gongjo),"hyun bin,hae-jin yoo,ju-hyuk kim"
فارسی فیلم The Man Who Invented Christmas,"dan stevens,mark schrier,patrick joseph byrnes"
فارسی فیلم The Leakers,"francis ng,julian cheung,charmaine sheh"
Venom,"tom hardy,michelle williams,riz ahmed"
Never Heard,"david banner,robin givens,romeo miller"
Dead in a Week Or Your Money Back,"tom wilkinson,aneurin barnard,Marion Bailey"
فارسی انیمیشن Smallfoot,"channing tatum,james corden,zendaya"
فارسی فیلم Radius,"diego klattenhoff,charlotte sullivan,brett donahue"
The Equalizer 2,"denzel washington,pedro pascal,ashton sanders"
Beyond The Sky,"ryan carnes,Jordan Danger,claude duhamel"
Rampant,"hyun bin,Seo Ji-hye,Jang Dong-Gun"
Vidar the Vampire,"thomas aske berg,brigt skrettingland,kim sønderholm"
The Wild Pear Tree,"dogu demirkol,murat cemcir,bennu yildirimlar"
The Quake,"kristoffer joner,ane dahl torp,Edith Haagenrud-Sande"
Foxtrot,"lior ashkenazi,sarah adler,yonaton shiray"
Film Stars Don’t Die in Liverpool,"annette bening,jamie bell,kenneth cranham"
Operation Finale,"oscar isaac,ben kingsley,mélanie laurent"
We the Animals,"evan rosado,raúl castillo,sheila vand"
Mademoiselle Paradis,"maria dragus,devid striesow,lukas miko"
Take Off,"Parvathy Thiruvothu,fahadh faasil,kunchacko boban"
The Divine Order,"marie leuenberger,maximilian simonischek,rachel braunschweig"
فارسی فیلم The Night Comes for Us,"joe taslim,iko uwais,julie estelle"
Agent Mr Chan,"chi wah wong,charmaine sheh,cecilia so"
May the Devil Take You,"chelsea islan,pevita pearce,ray sahetapy"
فارسی فیلم Thunder Road,"jim cummings,kendal farr,nican robinson"
فارسی فیلم Terminal,"margot robbie,simon pegg,Dexter Fletcher"
فارسی فیلم Alpha,"kodi smit-mcphee,jóhannes haukur jóhannesson,marcin kowalczyk"
Astral,"Damson Idris,frank dillane,catherine steadman"
Everybody Knows,"penélope cruz,javier bardem,Ricardo Darín"
Nothing to Hide,"bérénice bejo,suzanne clément,Stéphane De Groodt"
The Griddle House,"amber benson,charisma carpenter,clare kramer"
Nanu Ki Jaanu,"abhay deol,Patralekhaa Paul,rajesh sharma"
Inuyashiki,"noritake kinashi,takeru satoh,kanata hongô"
Cam,"madeline brewer,patch darragh,melora walters"
Mission: Impossible – Fallout,"tom cruise,henry cavill,ving rhames"
فارسی فیلم BlacKkKlansman,"john david washington,adam driver,Laura Harrier"
Sword Art Online The Movie – Ordinal Scale,"yoshitsugu matsuoka,haruka tomatsu,kanae itô"
Errementari,"kandido uranga,uma bracaglia,eneko sagardoy"
The Unthinkable,"christoffer nordenrot,lisa henni,jesper barkselius"
Five Fingers for Marseilles,"Vuyo Dabula,zethu dlomo,Hamilton Dlamini"
An Interview with God,"david strathairn,brenton thwaites,yael grobglas"
Puzzle,"kelly macdonald,irrfan khan,david denman"
Columbus,"john cho,haley lu richardson,parker posey"
In Harm’s Way,"yifei liu,emile hirsch,Shaoqun Yu"
Robin Hood: The Rebellion,"martyn ford,brian blessed,kristian nairn"
Glass Jaw,"lee kholafai,korrina rico,Jon Gries"
Detective Conan: Zero the Enforcer,"Minami Takayama,Kappei Yamaguchi,Wakana Yamazaki"
The Farm,"nora yessayan,alec gaylord,ken volok"
Juliet N…d,"chris o'dowd,rose byrne,kitty o'beirne"
Welcome Home,"emily ratajkowski,aaron paul,riccardo scamarcio"
Blue My Mind,"luna wedler,zoë pastelle holthuizen,regula grauwiller"
Needle and Thread Made in India,"anushka sharma,varun dhawan,raghuvir yadav"
Oh Lucy,"shinobu terajima,josh hartnett,kaho minami"
Mulk,"taapsee pannu,rishi kapoor,manoj pahwa"
آپ کمدی Adam Sandler: 100% Fresh,"adam sandler,Rob Schneider,Dan Bulla"
The Little Stranger,"domhnall gleeson,will poulter,ruth wilson"
Betrayed,"john savage,richard tyson,billy wirth"
Mara,"olga kurylenko,craig conway,javier botet"
Status Update,"ross lynch,olivia holt,harvey guillen"
Father of the Year,"david spade,nat faxon,joey bragg"
Private Life,"kathryn hahn,paul giamatti,Gabrielle Reid"
Downsizing,"matt damon,christoph waltz,hong chau"
Wonder,"jacob tremblay,owen wilson,izabela vidovic"
فارسی Darkest Hour,"gary oldman,lily james,kristin scott thomas"
River Runs Red,"taye diggs,john cusack,George Lopez"
Crazy Rich Asians,"constance wu,henry golding,michelle yeoh"
The Delinquent Season,"Laoise Murray,catherine walker,Nora Cooper"
فارسی فیلم The Muppets,"amy adams,jason segel,chris cooper"
فارسی فیلم In the Fade,"numan acar,adam bousdoukos,diane kruger"
An Evening with Beverly Luff Linn,"aubrey plaza,jemaine clement,emile hirsch"
Outlaw King,"chris pine,stephen dillane,rebecca robin"
Love Beats Rhymes,"john david washington,lorraine toussaint,common"
In the Aisles,"Andreas Leupold,franz rogowski,peter kurth"
The Scythian,"aleksey faddeev,aleksandr kuznetsov,yuriy tsurilo"
Die In One Day,"kateryna korchynska,david white,mirko d'antona"
فارسی انیمیشن Anchors Up,"Nina-Zofia Amerschläger,Achim Barremstrein,Dagmar Bittner"
Dallas Buyers Club,"matthew mcconaughey,jennifer garner,jared leto"
Illang The Wolf Brigade,"dong-won gang,Han Hyo-joo,Jung Woo-sung"
Welcome To Mercy,"lily newmark,eileen davies,Victoria Sokolova"
Warrior,"diljit dosanjh,taapsee pannu,angad bedi"
Incredibles 2,"craig t. nelson,holly hunter,sarah vowell"
The Miseducation of Cameron Post,"chloë grace moretz,steven hauck,quinn shephard"
فارسی فیلم Christopher Robin,"Ewan McGregor,hayley atwell,bronte carmichael"
I Before Thee,"aaron m. abelto,Randell J. Jackman,Brandi Patterson"
Seven in Heaven,"travis tope,haley ramm,Dylan Everett"
Monster Party,"Sam Strike,virginia gardner,Brandon Micheal Hall"
I Am Not an Easy Man,"vincent elbaz,Marie-Sophie Ferdane,pierre benezit"
All Light Will End,"sarah butler,andy buckley,john schuck"
Never Goin Back,"maia mitchell,camila morrone,Liz Cardenas"
Along with the Gods: The Last 49 Days,"jung-woo ha,Ju Ji-Hoon,hyang-gi kim"
Dont Go,"stephen dorff,melissa george,simon delaney"
Gold,"akshay kumar,mouni roy,kunal kapoor"
The Meg,"jason statham,bingbing li,rainn wilson"
White Orchid,"olivia thirlby,john carroll lynch,rachael taylor"
The Equalizer,"denzel washington,marton csokas,chloë grace moretz"
فارسی فیلم Man on the Moon,"jim carrey,danny devito,gerry becker"
فارسی فیلم Bleach,"sôta fukushi,hana sugisaki,Ryô Yoshizawa"
The Tale of The Princess Kaguya,"chloë grace moretz,james caan,mary steenburgen"
فارسی انیمیشن Justice League vs Bizarro League,"diedrich bader,troy baker,john dimaggio"
Taxi 5,"franck gastambide,malik bentalha,bernard farcy"
فارسی فیلم Papillon,"steve mcqueen,dustin hoffman,victor jory"
The Gateway,"jacqueline mckenzie,shannon berry,myles pollard"
Happy as Lazzaro,"adriano tardiolo,agnese graziani,alba rohrwacher"
فارسی انیمیشن Deep,"justin felbinger,stephen hughes,lindsey alena"
Breathe,"andrew garfield,claire foy,Hugh Bonneville"
The School,"megan drury,will mcdonald,Jack Ruwald"
Stellas Last Weekend,"nat wolff,alex wolff,polly draper"
The Bombing,"ye liu,bruce willis,Song Seung-heon"
No Escape Room,"jeni ross,mark ghanimé,hamza haq"
Hurricane,"iwan rheon,milo gibson,stefanie martini"
